query,rank,image_id,final_score,caption
blue denim jacket,1,40260,0.4333,"Normalized caption: A woman poses in a denim trucker jacket with set-in sleeves and a mini length, wearing dress shorts that have a regular fit and a pencil silhouette. Her jacket features a single-breasted design with a regular collar and a zip-up closure. She wears a dress with a bodycon shape and a plain pattern, paired with shorts that reach her hips and have a regular waist. Her denim jacket has hip-length hem and flap pockets. The overall outfit includes a combination of denim and dress elements, creating a unique look."
blue denim jacket,2,23946,0.3983,"Normalized caption: A woman stands on a city street wearing tight jeans with a single-breasted, trucker-style jacket in a washed denim color. Her jacket has a regular collar, set-in sleeves, and a fly front opening. She carries a bag and wallet, with her jeans having a regular fit and a regular length. Her upperbody features a visible pocket with a flap, while her lowerbody includes a visible sleeve and collar."
blue denim jacket,3,50268,0.3079,"A woman poses for a picture wearing a classic military denim jacket with a fly opening, stand-away stand-up collar, and symmetrical design. The jacket features a set-in sleeve, patch pocket, and multiple rivets. Her high-waisted, low-rise jeans have a regular fit, hip length, and a fly opening. The overall look includes a classic military style with no special manufacturing techniques."
blue denim jacket,4,27984,0.2263,"Normalized caption: A close-up view of a woman wearing a blue and black jacket with a single-breasted design, featuring a set-in sleeve and a three-quarter length. The jacket has a zip-up closure, a normal waist, and a tight fit. Below, she wears black pants that are above-the-hip in length, with a plain pattern and a single line of dots. Both the jacket and pants have a symmetrical appearance, with a regular waistline and no special manufacturing techniques. The pants feature a wrist-length hem and a zip-up closure, while the jacket includes a metal zipper and a plain, smooth lining."
blue denim jacket,5,19438,0.2149,"A man stands on a street wearing a washed denim shirt with a regular collar and set-in sleeves, featuring a fair isle pattern. He is dressed in black slim-fit pants with a fly opening and regular fit, and a pair of black trousers with a patch pocket and a single-breasted design. The shirt has a classic fit, while the pants have an above-the-hip length and a regular waistline. No special manufacturing techniques were used."
black leather jacket,1,6789,0.9454,"Normalized caption: A woman walks down a runway wearing a black leather jacket with an asymmetrical, biker-style cut, featuring a high-waisted maxi length, ruched panels, and a set-in sleeve with a regular collar. The jacket has flap pockets and a zip-up closure, while the cargo pants have a tight fit, high waist, and a regular waistband. Both the jacket and pants are in a plain pattern without any special manufacturing techniques. The pants also feature a slash pocket at the thigh, matching the jacket's asymmetrical design."
black leather jacket,2,34080,0.9122,"Normalized caption: A woman in a black leather jacket with a notched lapel and single-breasted design is talking on her phone. She wears tight, washed jeans with a set-in sleeve and a shirt with a plain collar. Her jacket has flap pockets and a normal waistline, while her blouse is loose-fitting. The overall look includes a tight, asymmetrical fit that extends to her lowerbody, with a symmetrical wrist-length sleeve."
black leather jacket,3,20130,0.8768,"Normalized caption: A woman stands on a city street, holding a baseball bat. She wears a black leather jacket with a biker style, navy blue leggings, and a tight, single-breasted jacket with a regular fit, symmetrical design, and a set-in sleeve. The jacket has a fly opening, a navy blue lapel, and navy blue sleeves. Her legs are clad in navy blue, fitted, above-the-hip length leggings. She also has navy blue shoes and a white blouse under her jacket."
black leather jacket,4,20282,0.8703,"Normalized caption: A woman walks down a runway in a black leather jacket with a mini length, asymmetrical design, and quilted pattern. The jacket features a regular collar, set-in sleeves, and a zip-up closure. She wears tights and stockings, completing the look with knee-high boots. Her overall outfit includes a regular waist, no special manufacturing techniques, and an above-the-knee length."
black leather jacket,5,4750,0.8377,"A woman walks down the runway wearing a black leather jacket with a biker style and a flapped pocket with a zip-up closure. The jacket has a high-waisted fit, ruched detailing, and a symmetrical design. Her black pants have a high waist, a normal fit, and are made of a plain fabric. The pants feature a set-in sleeve and are ankle-length. Her legs and feet are bare, with black shoes."
